// VIETNAM WEAPONS
"item_ammobox"					"Ammo Pack"
"item_medicbox"					"First Aid" // item_ names should be different otherwise player will not know if he is going to pick up a single medkit or a box with medkits
"weapon_ak47"					"AK-47"
"weapon_ak47_bayonet"			"6H2 Bayonet"
"weapon_akm"					"AKM"
"weapon_akm_gp25"				"AKM BG-15"
"weapon_amd65"					""
"weapon_ammobox"				"Ammunition Box"
"weapon_ammobox_us"				"Ammunition Box"
"weapon_ammobox_vc"				"Ammunition Box"
"weapon_aps"					"APS"
"weapon_baby_browning"			"Baby Browning"
"weapon_binoculars"				"Binoculars"
"weapon_binoculars_artillery"	"Artillery Airstrike"
"weapon_binoculars_barrage"		"Barrage Airstrike"
"weapon_binoculars_napalm"		"Napalm Airstrike"
"weapon_binoculars_phosphorus"	"Phosphorus Airstrike"
"weapon_binoculars_us"			"Binoculars"
"weapon_binoculars_vc"			"Binoculars"
"weapon_bren"					"Bren"
"weapon_c4"						"C4"
"weapon_c96"					"C96 Mauser"
"weapon_car15"					"XM177E2"
"weapon_car15s"					"XM177E2 4x"
"weapon_china_lake"				"China Lake Grenade Launcher"
"weapon_csg"					"ChiCom Frag Grenade"
"weapon_csg2"					"ChiCom High Explosive"
"weapon_css"					"RDG-1 Smoke"
"weapon_dp28"					"DP-28"
"weapon_dynamite"				"Dynamite"
"weapon_gasmask_us"				"Gas Mask"
"weapon_gasmask_vc"				"Gas Mask"
"weapon_gp25"					"GP-25 Grenade Launcher"
"weapon_hdm"					"HDM"
"weapon_k50m"					"K-50M"
"weapon_kar98k"					"Karabiner 98k"
"weapon_kar98k_riflegrenade"	"ChiCom Rifle Grenade"
"weapon_kar98k_s"				"Karabiner 98k ZF39"
"weapon_kbkg60"					"Kbkg 60"
"weapon_kbkg60_riflegrenade"	"ChiCom Rifle Grenade"
"weapon_lpo50"					"LPO-50 Flamethrower"
"weapon_m12"					"M12 Beretta"
"weapon_m14"					"M14"
"weapon_m14_riflegrenade"		"M7 Rifle Grenade"
"weapon_m16a1"					"M16A1"
